OID_,Value,EuropeCoun,EUcropPlus,HydroSoils,SlopeClass,CountryName,LandUse,SlopeClass,Manure added,Synthetic N applied,Sythetic P Applied,N Manure added,P Manure calculated,NUE,PUE,lucode,load_n,eff_n,crit_len_n,proportion_subsurface_n,load_p,eff_p,crit_len_p
0,1,34,80,2,1,Norway,Permanent water (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.56,0.81,1,0,0,200,0,0,0,200
1,2,34,80,3,1,Norway,Permanent water (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.64,0.95,2,0,0,200,0,0,0,200
2,3,34,10,2,1,Norway,Tree Cover (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.58,0.84,3,0,0.79,200,0.9996,0,0.79,200
3,4,34,80,2,2,Norway,Permanent water (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.56,0.81,4,0,0,200,0,0,0,200
4,5,34,10,2,2,Norway,Tree Cover (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.58,0.84,5,0,0.79,200,0.9996,0,0.79,200
5,6,34,10,2,3,Norway,Tree Cover (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.58,0.84,6,0,0.79,200,0.9996,0,0.79,200
6,7,34,10,2,4,Norway,Tree Cover (ESA),<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,No,0,0,0,0,0.58,0.84,7,0,0.79,200,0.9995,0,0.79,200
7,8,34,80,2,3,Norway,Permanent water (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.56,0.81,8,0,0,200,0,0,0,200
8,9,34,80,2,4,Norway,Permanent water (ESA),<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,No,0,0,0,0,0.56,0.81,9,0,0,200,0,0,0,200
9,10,34,60,2,1,Norway,Bare/sparse vegetation (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.57,0.83,10,0,0.05,200,0.9732,0,0.05,200
10,11,34,60,3,1,Norway,Bare/sparse vegetation (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.6,0.71,11,0,0.05,200,0.9676,0,0.05,200
11,12,34,60,2,2,Norway,Bare/sparse vegetation (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.57,0.83,12,0,0.05,200,0.97,0,0.05,200
12,13,34,60,2,3,Norway,Bare/sparse vegetation (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.57,0.83,13,0,0.05,200,0.9555,0,0.05,200
13,14,34,80,3,3,Norway,Permanent water (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.64,0.95,14,0,0,200,0,0,0,200
14,15,34,80,3,2,Norway,Permanent water (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.64,0.95,15,0,0,200,0,0,0,200
15,16,34,10,2,5,Norway,Tree Cover (ESA),> mean + 3STD = 26.558-89.281 degrees,No,0,0,0,0,0.58,0.84,16,0,0.79,200,0.9993,0,0.79,200
