OID_,Value,DepoZone,EUcropClas,SlopeClass,DepoZones,CropShort,SlopeTxt,lucode,Ndeposition,NUE,PUE,load_n,eff_n,crit_len_n,proportion_subsurface_n,load_p,eff_p,crit_len_p
0,1,0,5,1,<0.216 kg ha,Water & Wetlands,<= 1/2 STD = < 2.53 degrees,1,0.76596266,0.554061227,0.753258803,0.341572449,0,200,0.999401629,0,0,200
1,2,0,1,1,<0.216 kg ha,NaturalTrees,<= 1/2 STD = < 2.53 degrees,2,0.904905021,0.55013369,0.751791444,0.407086283,0.55292207,200,0.999798,0,0.55292207,200
2,3,0,5,2,<0.216 kg ha,Water & Wetlands,<= mean = 2.531- 5.06 degrees,3,0.661193073,0.55013369,0.751791444,0.297448488,0,200,0.999218106,0,0,200
3,4,0,1,2,<0.216 kg ha,NaturalTrees,<= mean = 2.531- 5.06 degrees,4,0.891883314,0.55013369,0.751791444,0.401228255,0.552428842,200,0.999766767,0,0.552428842,200
4,5,0,1,3,<0.216 kg ha,NaturalTrees,<= mean + 1 STD = 5.061-12.225 degrees,5,0.864981294,0.55013369,0.751791444,0.389125943,0.320147961,200,0.999836624,0,0.320147961,200
5,6,0,1,4,<0.216 kg ha,NaturalTrees,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,6,0.818892539,0.55013369,0.751791444,0.368392165,0.049379006,200,0.999911308,0,0.049379006,200
6,7,0,5,3,<0.216 kg ha,Water & Wetlands,<= mean + 1 STD = 5.061-12.225 degrees,7,0.661193073,0.55013369,0.751791444,0.297448488,0,200,0.99919647,0,0,200
7,8,0,5,4,<0.216 kg ha,Water & Wetlands,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,8,0.661193073,0.55013369,0.751791444,0.297448488,0,200,0.999344885,0,0,200
8,9,0,2,1,<0.216 kg ha,Non-wood Natural,<= 1/2 STD = < 2.53 degrees,9,0.735072792,0.55013369,0.751791444,0.330684485,0,200,0.999929726,0,0,200
9,10,0,2,2,<0.216 kg ha,Non-wood Natural,<= mean = 2.531- 5.06 degrees,10,0.622425497,0.55013369,0.751791444,0.280008262,0,200,0.999627471,0,0,200
10,11,0,2,3,<0.216 kg ha,Non-wood Natural,<= mean + 1 STD = 5.061-12.225 degrees,11,0.631272256,0.55013369,0.751791444,0.28398812,0,200,0.999532163,0,0,200
11,12,0,1,5,<0.216 kg ha,NaturalTrees,> mean + 3STD = 26.558-89.281 degrees,12,0.784723222,0.55013369,0.751791444,0.35302054,0,200,0.999902308,0,0,200
12,13,0,2,4,<0.216 kg ha,Non-wood Natural,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,13,0.65430212,0.55013369,0.751791444,0.29434848,0,200,0.999333084,0,0,200
13,14,0,2,5,<0.216 kg ha,Non-wood Natural,> mean + 3STD = 26.558-89.281 degrees,14,0.650373518,0.55013369,0.751791444,0.292581135,0,200,0.99877882,0,0,200
14,15,0,5,5,<0.216 kg ha,Water & Wetlands,> mean + 3STD = 26.558-89.281 degrees,15,0.661193073,0.55013369,0.751791444,0.297448488,0,200,0,0,0,200
15,16,0,4,1,<0.216 kg ha,Built-up and artificial,<= 1/2 STD = < 2.53 degrees,16,0.790953398,0.55013369,0.751791444,0.355823287,0,200,0.998304009,0,0,200
16,17,0,4,2,<0.216 kg ha,Built-up and artificial,<= mean = 2.531- 5.06 degrees,17,0.776195884,0.55013369,0.751791444,0.349184378,0.01433531,200,0.998201907,0,0.01433531,200
17,18,0,4,3,<0.216 kg ha,Built-up and artificial,<= mean + 1 STD = 5.061-12.225 degrees,18,0.778136909,0.55013369,0.751791444,0.35005758,0.010845556,200,0.99837476,0,0.010845556,200
18,19,0,4,4,<0.216 kg ha,Built-up and artificial,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,19,0.693318725,0.55013369,0.751791444,0.311900736,0,200,0.998730421,0,0,200
19,20,0,4,5,<0.216 kg ha,Built-up and artificial,> mean + 3STD = 26.558-89.281 degrees,20,0.624658525,0.55013369,0.751791444,0.281012826,0,200,0.997407496,0,0,200
20,21,0,3,3,<0.216 kg ha,Cropland,<= mean + 1 STD = 5.061-12.225 degrees,21,0.777783573,0.55013369,0.751791444,0.349898626,0,200,0.99126339,0,0,200
21,22,0,3,2,<0.216 kg ha,Cropland,<= mean = 2.531- 5.06 degrees,22,0.822983772,0.55013369,0.751791444,0.370232673,0,200,0.992071152,0,0,200
22,23,0,3,1,<0.216 kg ha,Cropland,<= 1/2 STD = < 2.53 degrees,23,0.828317285,0.55013369,0.751791444,0.372632041,0.01169035,200,0.992761731,0,0.01169035,200
23,24,2,5,1,1.001-2 kg ha,Water & Wetlands,<= 1/2 STD = < 2.53 degrees,24,1.423016548,0,0.8,1.423016548,0.001122105,200,0.99851954,0,0.001122105,200
24,25,2,2,1,1.001-2 kg ha,Non-wood Natural,<= 1/2 STD = < 2.53 degrees,25,1.286987901,0.91,0.75,0.115828911,0.356796116,200,0.999907911,0,0.356796116,200
25,26,2,2,3,1.001-2 kg ha,Non-wood Natural,<= mean + 1 STD = 5.061-12.225 degrees,26,1.247187257,0.89,0.52,0.137190598,0,200,0.9995386,0,0,200
26,27,2,2,4,1.001-2 kg ha,Non-wood Natural,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,27,1.275203347,0,0.24,1.275203347,0,200,0.998494983,0,0,200
27,28,2,1,1,1.001-2 kg ha,NaturalTrees,<= 1/2 STD = < 2.53 degrees,28,1.414210796,0,0.8,1.414210796,0.899999976,200,0.999696136,0,0.899999976,200
28,29,2,2,2,1.001-2 kg ha,Non-wood Natural,<= mean = 2.531- 5.06 degrees,29,1.24835813,0.91,0.53,0.112352232,0.028052723,200,0.999792576,0,0.028052723,200
29,30,2,5,3,1.001-2 kg ha,Water & Wetlands,<= mean + 1 STD = 5.061-12.225 degrees,30,1.410172582,0,0.77,1.410172582,0.08791595,200,0.998941749,0,0.08791595,200
30,31,2,5,2,1.001-2 kg ha,Water & Wetlands,<= mean = 2.531- 5.06 degrees,31,1.442181945,0.03,0.78,1.398916487,0.196044698,200,0.99839294,0,0.196044698,200
31,32,2,5,4,1.001-2 kg ha,Water & Wetlands,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,32,1.369546771,0,0.75,1.369546771,0.005618358,200,0.999991536,0,0.005618358,200
32,33,2,2,5,1.001-2 kg ha,Non-wood Natural,> mean + 3STD = 26.558-89.281 degrees,33,1.309836626,0,0.31,1.309836626,0,200,0.997028232,0,0,200
33,34,2,1,4,1.001-2 kg ha,NaturalTrees,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,34,1.409870148,0,0.26,1.409870148,0.743599951,200,0.999345541,0,0.743599951,200
34,35,2,1,3,1.001-2 kg ha,NaturalTrees,<= mean + 1 STD = 5.061-12.225 degrees,35,1.388764977,0,0.75,1.388764977,0.899999976,200,0.998989046,0,0.899999976,200
35,36,2,1,2,1.001-2 kg ha,NaturalTrees,<= mean = 2.531- 5.06 degrees,36,1.396020889,0,0.8,1.396020889,0.899999976,200,0.999303818,0,0.899999976,200
36,37,2,1,5,1.001-2 kg ha,NaturalTrees,> mean + 3STD = 26.558-89.281 degrees,37,1.433452845,0,0.21,1.433452845,0.133342102,200,0.999388456,0,0.133342102,200
37,38,2,4,1,1.001-2 kg ha,Built-up and artificial,<= 1/2 STD = < 2.53 degrees,38,1.474091172,0,0.76,1.474091172,0.010367389,200,0.995037287,0,0.010367389,200
38,39,2,5,5,1.001-2 kg ha,Water & Wetlands,> mean + 3STD = 26.558-89.281 degrees,39,1.297454059,0,0.81,1.297454059,0,200,0.99999702,0,0,200
39,40,2,4,4,1.001-2 kg ha,Built-up and artificial,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,40,1.433507562,0,0.24,1.433507562,0.049084637,200,0.990013182,0,0.049084637,200
40,41,2,4,3,1.001-2 kg ha,Built-up and artificial,<= mean + 1 STD = 5.061-12.225 degrees,41,1.458948433,0,0.21,1.458948433,0.027610108,200,0.992616236,0,0.027610108,200
41,42,2,4,2,1.001-2 kg ha,Built-up and artificial,<= mean = 2.531- 5.06 degrees,42,1.481505632,0.03,0.76,1.437060463,0.007666559,200,0.994331777,0,0.007666559,200
42,43,2,4,5,1.001-2 kg ha,Built-up and artificial,> mean + 3STD = 26.558-89.281 degrees,43,1.467573643,0,0.21,1.467573643,0.004182745,200,0.989406228,0,0.004182745,200
43,44,2,3,1,1.001-2 kg ha,Cropland,<= 1/2 STD = < 2.53 degrees,44,1.347001791,0,0.8,1.347001791,0.53143239,200,0.980035007,0,0.53143239,200
44,45,2,3,2,1.001-2 kg ha,Cropland,<= mean = 2.531- 5.06 degrees,45,1.270325661,0,0.8,1.270325661,0.445738465,200,0.977003932,0,0.445738465,200
45,46,2,3,3,1.001-2 kg ha,Cropland,<= mean + 1 STD = 5.061-12.225 degrees,46,1.234653354,0,0.75,1.234653354,0.34034884,200,0.97764498,0,0.34034884,200
46,47,2,3,4,1.001-2 kg ha,Cropland,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,47,1.174113691,0,0.56,1.174113691,0.098024942,200,0.981844038,0,0.098024942,200
47,48,0,3,4,<0.216 kg ha,Cropland,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,48,0.665148854,0.55013369,0.751791444,0.299228061,0,200,0.991402,0,0,200
48,49,0,3,5,<0.216 kg ha,Cropland,> mean + 3STD = 26.558-89.281 degrees,49,0.611217797,0.55013369,0.751791444,0.274966295,0,200,0.992183208,0,0,200
49,50,0,6,1,<0.216 kg ha,Improved Grasslands,<= 1/2 STD = < 2.53 degrees,50,0.779587984,0.55013369,0.751791444,0.35071037,0,200,0.987245649,0,0,200
50,51,0,6,3,<0.216 kg ha,Improved Grasslands,<= mean + 1 STD = 5.061-12.225 degrees,51,0.58272481,0.55013369,0.751791444,0.26214826,0,200,0.992839813,0,0,200
51,52,0,6,2,<0.216 kg ha,Improved Grasslands,<= mean = 2.531- 5.06 degrees,52,0.586503357,0.55013369,0.751791444,0.263848101,0,200,0.992816091,0,0,200
52,53,2,3,5,1.001-2 kg ha,Cropland,> mean + 3STD = 26.558-89.281 degrees,53,1.170655847,0.89,0.56,0.128772143,0.002642743,200,0.984587193,0,0.002642743,200
53,54,2,6,1,1.001-2 kg ha,Improved Grasslands,<= 1/2 STD = < 2.53 degrees,54,1.627290487,0,0.8,1.627290487,0.817418337,200,0.944739878,0,0.817418337,200
54,55,3,1,1,2.001-3 kg ha,NaturalTrees,<= 1/2 STD = < 2.53 degrees,55,2.582034588,0.64,0.86,0.929532452,0.899999976,200,0.999330461,0,0.899999976,200
55,56,3,2,1,2.001-3 kg ha,Non-wood Natural,<= 1/2 STD = < 2.53 degrees,56,2.368721008,0.89,0.78,0.260559311,0.529982805,200,0.999782741,0,0.529982805,200
